ID	类型	数量	概率	名字	空行
22	2	1	100	双股剑	
27	2	1	100	龙鳞刀	
32	2	1	100	黄金戟	
94	2	1	300	银麟铠甲	
99	2	1	300	龙鳞头盔	
104	2	1	300	沧月项链	
23	2	1	100	双股剑+1	
28	2	1	100	龙鳞刀+1	
33	2	1	100	黄金戟+1	
95	2	1	300	银麟铠甲+1	
100	2	1	300	龙鳞头盔+1	
105	2	1	300	沧月项链+1	
24	2	1	100	双股剑+2	
29	2	1	100	龙鳞刀+2	
34	2	1	100	黄金戟+2	
96	2	1	300	银麟铠甲+2	
101	2	1	300	龙鳞头盔+2	
106	2	1	300	沧月项链+2	
25	2	1	100	双股剑+3	
30	2	1	100	龙鳞刀+3	
35	2	1	100	黄金戟+3	
97	2	1	300	银麟铠甲+3	
102	2	1	300	龙鳞头盔+3	
107	2	1	300	沧月项链+3	
26	2	1	100	双股剑+4	
31	2	1	100	龙鳞刀+4	
36	2	1	100	黄金戟+4	
98	2	1	300	银麟铠甲+4	
103	2	1	300	龙鳞头盔+4	
108	2	1	300	沧月项链+4	
501	2	1	100	双股剑+5	
502	2	1	100	龙鳞刀+5	
503	2	1	100	黄金戟+5	
504	2	1	300	银麟铠甲+5	
505	2	1	300	龙鳞头盔+5	
506	2	1	300	沧月项链+5	
507	2	1	100	双股剑+6	
508	2	1	100	龙鳞刀+6	
509	2	1	100	黄金戟+6	
510	2	1	300	银麟铠甲+6	
511	2	1	300	龙鳞头盔+6	
512	2	1	300	沧月项链+6	
37	2	1	20	精•双股剑	
43	2	1	20	精•龙鳞刀	
49	2	1	20	精•黄金戟	
109	2	1	60	精•银麟铠甲	
115	2	1	60	精•龙鳞头盔	
121	2	1	60	精•沧月项链	
