序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
0	0	-1	1	玩家：为什么我在这里？这些打打杀杀的是要怎样啦！	56	2	公孙瓒：兄弟别废话了，赶紧杀了这帮黄巾乱党，好向朝廷领赏。	-1	1	玩家：黄巾军？我擦，难道我到了东汉末年？请，请，请问这位猛将兄，我不会打仗啊。	56	2	公孙瓒：少废话了，等下我要放大招，你也一起来吧！										
1	0	90001	2	黄巾士兵甲：我大天公将军张角有令，凡从本城过境者，每人必须缴纳文银二十两！	-1	1	玩家：我擦，这黄巾军，历史书上不是说好的是农民起义么？怎么也趁火打劫啊？	90002	1	A将：主公勿忧，待末将诛杀这些为祸百姓的恶贼便是！	127	1	关羽：前面小哥且慢，你们初来贵地尚不知黄巾贼险恶，还是让奴家和小乔妹妹送你们一程吧！				-1	1	玩家：如此便好，那就有劳二位英雄啦				
2	0	-1	1	玩家：怎么前面又是一大片黄灿灿的人啊？	90002	1	A将：主公，此路到处都是黄金乱党，我们还要从这儿过么？	-1	1	玩家：没法啊，要干成大事儿，先得找到刘皇叔。	90002	1	A将：主公，末将不才，敢问刘皇叔是谁？	-1	1	玩家：刘皇叔就是刘备啊。	90002	1	A将：这刘备又是何许人也？	-1	1	玩家：你没学过初中历史么？！好吧，先灭了这帮黄巾我再告诉你。	
3	0	90002	1	A将：主公，前面有人在烧杀劫掠	-1	1	玩家：我去，怎么又是黄巾军？所谓农民起义都这么有内涵么？	90002	1	A将：主公，什么是内涵？	-1	1	玩家：内涵就是.....算了，还是先灭了这群暴徒！	90002	1	A将：那什么又是灭了？	-1	1	玩家：求你别问了，动手吧！				
4	0	90003	2	黄巾头目：你，你，你，是何，何，何方妖魔，竟敢来，来，来犯我黄，黄，黄巾大，大，大军	90002	1	A将：主公，这厮还是结巴。	-1	1	玩家：我，我，我，我是你，你，你爷爷，当，当，当年不，不，不，不，小心生，生，生，下，下，下，了你爹这个野种	90003	2	黄巾头目：大，大，大，大胆狂，狂，狂，狂徒，纳，纳，纳，纳命来！	-1	1	玩家：我擦，干他！	90002	1	A将：主公，什么叫干他！	-1	1	玩家：就是让你杀了他........	
5	1	90003	2	黄巾头目：你，你，你，冒，冒，冒，冒犯天公将，将，将军的神威，将死，死，无，无，无葬身之地！	90002	1	A将：主，主，主，主公，要，要，要不要一刀了解他	-1	1	玩家：你怎么也学起他结巴来了，此人暂且收押，前面还需要个指路的，我们这点兵马，得绕开黄巾的大部队才行啊。	90002	1	A将：唉，主公，你说的那个刘皇叔到底在哪儿啊...	127	1	关羽：这位少侠，你们现在已经暂时安全，在往前走就是大道了，某和小乔还有些要事处理就只能送你们到这里了。	-1	1	玩家：既然这样，我也不留二位了，以后若有相遇定当报答二位恩情。	127	1	关羽：呵呵，你太客气，奴家相信我们不久就能再次见面的，那就保重再会。	
6	0	90004	2	黄巾士兵乙：何方兵马，敢与我黄巾大军为敌？	-1	1	玩家：我去，那个死结巴坑我，不是说这条路上没什么兵马的么？	90002	1	A将：主公，连续作战我军恐怕有点吃不消啊！	-1	1	玩家：饿货，打完此战请你吃哈根达斯	90002	1	A将：得令！唉，主公，什么是哈根打死？	-1	1	玩家：达斯....不是打死.....唉，先打死这帮祸害再说。				
7	0	90002	1	A将：主公，那个刘皇叔到底是何方神圣，值得咱们这么辛苦的寻找啊？	-1	1	玩家：别闹，再过几个关隘，就要到涿郡了，史书记载刘备会在那里卖草鞋	90002	1	A将：一个卖草鞋的有什么好稀罕？末将的娘子还有个妹妹，精通各种草鞋，草席，草帽....要不介绍给主公？	-1	1	玩家：拜托...我不是为了几双破鞋才出来混的，	90002	1	A将：主公，不好了，又有黄巾军！							
8	0	90005	2	黄巾妖女：听说有小股流寇，烧杀至此，敢问可是阁下？	-1	1	玩家：嘿嘿，我不是流寇，我每个月都在缴个人所得税，医保，社保都按时买了的	90002	1	A将：主公，你在说什么，我愈发听不懂了	-1	1	玩家：大哥，我求你了，你没看出来我是在转移他的注意力，好让你趁机动手么？	90005	2	黄巾妖女：哼，雕虫小技，也敢在本将面前摆弄！吃我一刀！							
9	0	90006	2	程远志：大胆草寇，敢来犯我青木关！	-1	1	玩家：过了青木关，就是涿郡了，弟兄们，荣华富贵近在咫尺啊！	90014	2	黄巾：本将麾下皆是神兵天将，你以为我会让你活着过去？	-1	1	玩家：泥马，这么多人，要是有把AK-47就好了....	90002	1	A将：主公，什么是挨克四十七.....							
