ID	名字	类型	品质	属性类型	属性值	随机属性概率1	随机属性概率2	随机属性概率3	随机属性概率4	随机属性概率5	随机属性概率6	价格	资源	描述	强化材料	强化ID	强化概率	合成材料	合成ID	洗练材料	空行
1	铁剑	1	10	1	48	0	0	0	0	0	0	850	tjian.png	铁制的剑，锋利度马马虎虎							
4	铁刀	1	10	1	76	0	0	0	0	0	0	1060	tdao.png	铁制的刀，锋利度马马虎虎							
7	铁戟	1	10	1	60	0	0	0	0	0	0	740	tji.png	铁制的戟，锋利度马马虎虎							
73	硬皮甲	2	10	2	640	0	0	0	0	0	0	650	ypjia.png	皮质的盔甲，军队中常用的装备							
76	铁头盔	3	10	3	70	0	0	0	0	0	0	230	ttkui.png	铁制的头盔，军队中常用的装备							
79	珍珠项链	4	10	4	80	0	0	0	0	0	0	260	zzxlian.png	珍珠做成的项链，中看又中用							
2	铁剑+1	1	11	1	60	0	0	0	0	0	0	1270	tjian.png	铁制的剑，锋利度马马虎虎							
5	铁刀+1	1	11	1	96	0	0	0	0	0	0	1580	tdao.png	铁制的刀，锋利度马马虎虎							
8	铁戟+1	1	11	1	76	0	0	0	0	0	0	1110	tji.png	铁制的戟，锋利度马马虎虎							
74	硬皮甲+1	2	11	2	828	0	0	0	0	0	0	970	ypjia.png	皮质的盔甲，军队中常用的装备							
77	铁头盔+1	3	11	3	90	0	0	0	0	0	0	340	ttkui.png	铁制的头盔，军队中常用的装备							
80	珍珠项链+1	4	11	4	104	0	0	0	0	0	0	390	zzxlian.png	珍珠做成的项链，中看又中用							
3	铁剑+2	1	12	1	76	0	0	0	0	0	0	1910	tjian.png	铁制的剑，锋利度马马虎虎							
6	铁刀+2	1	12	1	120	0	0	0	0	0	0	2380	tdao.png	铁制的刀，锋利度马马虎虎							
9	铁戟+2	1	12	1	96	0	0	0	0	0	0	1680	tji.png	铁制的戟，锋利度马马虎虎							
75	硬皮甲+2	2	12	2	1020	0	0	0	0	0	0	1460	ypjia.png	皮质的盔甲，军队中常用的装备							
78	铁头盔+2	3	12	3	108	0	0	0	0	0	0	520	ttkui.png	铁制的头盔，军队中常用的装备							
81	珍珠项链+2	4	12	4	124	0	0	0	0	0	0	580	zzxlian.png	珍珠做成的项链，中看又中用							
10	精•铁剑	1	20	1	96	0.4	0	0	0	0	0	6800	tjian.png	铁制的剑，稍微打磨了一下锋利将就							
14	精•铁刀	1	20	1	152	0.4	0	0	0	0	0	8500	tdao.png	铁制的刀，稍微打磨了一下锋利将就							
18	精•铁戟	1	20	1	120	0.4	0	0	0	0	0	5960	tji.png	铁制的戟，稍微打磨了一下锋利将就							
82	精•硬皮甲	2	20	2	1330	0.4	0	0	0	0	0	5100	ypjia.png	皮质的盔甲，军队中常用的装备							
86	精•铁头盔	3	20	3	140	0.4	0	0	0	0	0	2040	ttkui.png	铁制的头盔，军队中常用的装备							
90	精•珍珠项链	4	20	4	160	0.4	0	0	0	0	0	2200	zzxlian.png	珍珠做成的项链，中看又中用							
11	精•铁剑+1	1	21	1	120	0.4	0	0	0	0	0	8840	tjian.png	铁制的剑，稍微打磨了一下锋利将就							
15	精•铁刀+1	1	21	1	200	0.4	0	0	0	0	0	11050	tdao.png	铁制的刀，稍微打磨了一下锋利将就							
19	精•铁戟+1	1	21	1	160	0.4	0	0	0	0	0	7770	tji.png	铁制的戟，稍微打磨了一下锋利将就							
83	精•硬皮甲+1	2	21	2	1730	0.4	0	0	0	0	0	6630	ypjia.png	皮质的盔甲，军队中常用的装备							
87	精•铁头盔+1	3	21	3	180	0.4	0	0	0	0	0	2600	ttkui.png	铁制的头盔，军队中常用的装备							
91	精•珍珠项链+1	4	21	4	210	0.4	0	0	0	0	0	2900	zzxlian.png	珍珠做成的项链，中看又中用							
12	精•铁剑+2	1	22	1	160	0.4	0	0	0	0	0	10880	tjian.png	铁制的剑，稍微打磨了一下锋利将就							
16	精•铁刀+2	1	22	1	260	0.4	0	0	0	0	0	13600	tdao.png	铁制的刀，稍微打磨了一下锋利将就							
20	精•铁戟+2	1	22	1	210	0.4	0	0	0	0	0	9570	tji.png	铁制的戟，稍微打磨了一下锋利将就							
84	精•硬皮甲+2	2	22	2	2250	0.4	0	0	0	0	0	8160	ypjia.png	皮质的盔甲，军队中常用的装备							
88	精•铁头盔+2	3	22	3	240	0.4	0	0	0	0	0	3260	ttkui.png	铁制的头盔，军队中常用的装备							
92	精•珍珠项链+2	4	22	4	270	0.4	0	0	0	0	0	3600	zzxlian.png	珍珠做成的项链，中看又中用							
13	精•铁剑+3	1	23	1	210	0.4	0	0	0	0	0	12920	tjian.png	铁制的剑，稍微打磨了一下锋利将就							
17	精•铁刀+3	1	23	1	330	0.4	0	0	0	0	0	16150	tdao.png	铁制的刀，稍微打磨了一下锋利将就							
21	精•铁戟+3	1	23	1	270	0.4	0	0	0	0	0	11300	tji.png	铁制的戟，稍微打磨了一下锋利将就							
85	精•硬皮甲+3	2	23	2	2920	0.4	0	0	0	0	0	9690	ypjia.png	皮质的盔甲，军队中常用的装备							
89	精•铁头盔+3	3	23	3	310	0.4	0	0	0	0	0	3870	ttkui.png	铁制的头盔，军队中常用的装备							
93	精•珍珠项链+3	4	23	4	350	0.4	0	0	0	0	0	4270	zzxlian.png	珍珠做成的项链，中看又中用							
22	双股剑	1	30	1	240	0.2	0.4	0	0	0	0	17900	sgjian.png	又名鸳鸯剑，鸳剑长三尺七寸，鸯剑长三尺四寸，利可断金							
27	龙鳞刀	1	30	1	370	0.2	0.4	0	0	0	0	22300	lldao.png	一曰灵宝，二曰含章，三曰素质，又作露陌刀，一名龙鳞刀							
32	黄金戟	1	30	1	310	0.2	0.4	0	0	0	0	15700	hjji.png	戟身由黄金打造，中看又中用，挥起来气场十足							
94	银麟铠甲	2	30	2	3360	0.2	0.4	0	0	0	0	13400	ylkjia.png	铠甲表面为银质，一般弓箭很难射穿							
99	龙鳞头盔	3	30	3	350	0.2	0.4	0	0	0	0	5300	lltkui.png	传说中用龙鳞做出来的头盔，不知道是不是真的试试就知道							
104	沧月项链	4	30	4	410	0.2	0.4	0	0	0	0	5900	cyxlian.png	极具观赏性的项链，除了看就没用途了？你穿上就知道							
23	双股剑+1	1	31	1	280	0.2	0.4	0	0	0	0	21480	sgjian.png	又名鸳鸯剑，鸳剑长三尺七寸，鸯剑长三尺四寸，利可断金							
28	龙鳞刀+1	1	31	1	420	0.2	0.4	0	0	0	0	26850	lldao.png	一曰灵宝，二曰含章，三曰素质，又作露陌刀，一名龙鳞刀							
