ID	姓名	是否掉落	掉落章节	副本类型	掉落描述1	掉落描述2	掉落描述3	掉落描述4	掉落描述5	掉落描述6	空行
32	皇甫嵩	1	12	1	招募中抽取获得						
33	刘璋	1	12	1	招募中抽取获得						
34	张绣	1	12	1	招募中抽取获得						
35	曹节	1	12	1	招募中抽取获得						
36	程普	1	12	1	招募中抽取获得						
37	孙鲁班	1	12	1	招募中抽取获得						
38	朱然	1	12	1	招募中抽取获得						
39	凌操	1	12	1	招募中抽取获得						
40	关平				招募中抽取获得						
41	魏延				招募中抽取获得						
42	张苞				招募中抽取获得						
43	法正				招募中抽取获得						
44	关兴				招募中抽取获得						
45	鲍三娘				招募中抽取获得						
46	周仓				招募中抽取获得						
47	关索				招募中抽取获得						
48	夏侯霸				招募中抽取获得						
49	严颜				招募中抽取获得						
50	孟获				招募中抽取获得						
51	袁绍				招募中抽取获得						
52	华雄				招募中抽取获得						
53	颜良				招募中抽取获得						
54	文丑				招募中抽取获得						
55	陈宫				招募中抽取获得						
56	公孙瓒				招募中抽取获得						
57	高顺				招募中抽取获得						
58	李儒				招募中抽取获得						
59	张任				招募中抽取获得						
60	典韦				招募中抽取获得						
61	许褚				招募中抽取获得						
62	曹彰				招募中抽取获得						
63	庞德				招募中抽取获得						
64	张郃				招募中抽取获得						
65	徐晃				招募中抽取获得						
66	于禁				招募中抽取获得						
67	周泰				招募中抽取获得						
68	凌统				招募中抽取获得						
69	黄盖				招募中抽取获得						
70	鲁肃				招募中抽取获得						
71	虞翻				招募中抽取获得						
72	诸葛瑾				招募中抽取获得						
73	潘璋				招募中抽取获得						
74	刘备				招募中抽取获得	商城中购买获得					
75	关羽				招募中抽取获得	商城中购买获得					
76	张飞				招募中抽取获得	商城中购买获得					
77	马超				招募中抽取获得	商城中购买获得					
78	赵云				招募中抽取获得	商城中购买获得					
79	诸葛亮				招募中抽取获得	商城中购买获得					
80	孙尚香				招募中抽取获得	商城中购买获得					
81	姜维				招募中抽取获得	商城中购买获得					
82	诸葛果				招募中抽取获得	商城中购买获得					
83	庞统				招募中抽取获得	商城中购买获得					
84	黄忠				招募中抽取获得	商城中购买获得					
85	董卓				招募中抽取获得	商城中购买获得					
86	吕布				招募中抽取获得		积分商城兑换获得				
87	貂蝉				招募中抽取获得	商城中购买获得					
88	张角				招募中抽取获得		积分商城兑换获得				
89	蔡文姬				招募中抽取获得	商城中购买获得					
90	吕玲绮				招募中抽取获得	商城中购买获得					
91	华佗				招募中抽取获得	商城中购买获得					
92	祝融				招募中抽取获得	商城中购买获得					
93	曹操				招募中抽取获得	商城中购买获得					
94	司马懿				招募中抽取获得	商城中购买获得					
95	甄姬				招募中抽取获得	商城中购买获得					
96	夏侯惇				招募中抽取获得	商城中购买获得					
97	张辽				招募中抽取获得	商城中购买获得					
98	司马昭				招募中抽取获得	商城中购买获得					
99	邓艾				招募中抽取获得	商城中购买获得					
100	张春华				招募中抽取获得	商城中购买获得					
101	夏侯渊				招募中抽取获得	商城中购买获得					
102	荀攸				招募中抽取获得	商城中购买获得					
103	荀彧				招募中抽取获得	商城中购买获得					
104	贾诩				招募中抽取获得	商城中购买获得					
105	孙权				招募中抽取获得	商城中购买获得					
106	孙策				招募中抽取获得	商城中购买获得					
107	甘宁				招募中抽取获得	商城中购买获得					
108	太史慈				招募中抽取获得	商城中购买获得					
109	周瑜				招募中抽取获得	商城中购买获得					
110	大乔				招募中抽取获得	商城中购买获得					
111	小乔				招募中抽取获得	商城中购买获得					
112	吕蒙				招募中抽取获得	商城中购买获得					
113	孙坚				招募中抽取获得	商城中购买获得					
114	貂蝉(幻)	1	2	2	招募中抽取获得	商城中购买获得					
115	祝融(幻)				招募中抽取获得	商城中购买获得					
116	小乔(幻)	1	5	2	招募中抽取获得	商城中购买获得					
117	张飞(幻)	1	6	2	招募中抽取获得	商城中购买获得					
118	孙尚香(幻)	1	1	2	招募中抽取获得	商城中购买获得					
119	刘备(幻)	1	11	2	招募中抽取获得	商城中购买获得					
120	诸葛亮(幻)				公会商店购买获得						
121	吕玲绮(幻)	1	17	2	招募中抽取获得	商城中购买获得					
122	夏侯惇(幻)	1	10	2	招募中抽取获得	商城中购买获得					
123	甄姬(幻)				英雄试练中获得						
124	蔡文姬(幻)	1	7	2	招募中抽取获得	商城中购买获得					
125	周瑜(幻)				VIP7以上可在商店中购买						
126	张辽(幻)	1	22	2	招募中抽取获得	商城中购买获得					
127	关羽(幻)				招募中抽取获得	商城中购买获得					
128	曹操(幻)	1	12	2	招募中抽取获得	商城中购买获得					
129	赵云(幻)				英雄试练中获得						
130	吕布(幻)				VIP12以上可在特殊中购买						
131	孙权(幻)	1	13	2	招募中抽取获得	商城中购买获得					
132	陆逊(现)	1	9	2	招募中抽取获得	商城中购买获得					
133	丁奉(现)	1	24	2	招募中抽取获得	商城中购买获得					
134	郭嘉(现)				英雄试练中获得						
135	曹仁(现)	1	3	2	招募中抽取获得	商城中购买获得					
136	于吉(现)	1	8	2	招募中抽取获得	商城中购买获得					
137	左慈(现)				英雄试练中获得	限时神将积分奖励获得					
138	关银屏(现)	1	4	2	招募中抽取获得	商城中购买获得					
139	黄月英(现)	1	23	2	招募中抽取获得	商城中购买获得					
