小等级	大等级	主将id	主将阶级	主将等级	副将1id	副将1阶级	副将1等级	副将2id	副将2阶级	副将2等级	小兵1ID	小兵2ID	小兵3ID	小兵等级	空行
40	49	1	14	140	2	14	140	3	14	140	1102	2102	3102	5	
50	59	1	20	240	2	20	240	3	20	240	1102	2102	3102	15	
60	69	1	26	320	2	26	320	3	26	320	1103	2103	3103	1	
70	79	1	32	480	2	32	480	3	32	480	1103	2103	3103	15	
80	89	1	32	550	2	32	550	3	32	550	1103	2103	3103	30	
90	99	1	32	620	2	32	620	3	32	620	1104	2104	3104	10	
100	109	1	32	720	2	32	720	3	32	720	1104	2104	3104	30	
110	119	1	32	820	2	32	820	3	32	820	1104	2104	3104	40	
120	129	1	32	920	2	32	920	3	32	920	1105	2105	3105	20	
130	139	1	32	1020	2	32	1020	3	32	1020	1105	2105	3105	40	
