ID	姓名	武力	智力	统御	攻击速度	移动速度	攻击距离	攻击范围	资源ID	体积	技能特效	技能缩放比例	品质	阵营ID	武将类型	人物描述	阵型ID	阵型	缘分ID	分解获得基础铜钱数	头像	卡牌	卡牌1	卡牌2	卡牌3	卡牌4	卡牌5	卡牌6	卡牌7	卡牌8	卡牌9	卡牌10	剧情对话头像	声效	偏将加成	空行
1	虎贲校尉	43	23	23	1	95	140	300	dongzuo_plist	50	ziyun_plist		1	4	30001	八校尉之一，掌轻车，秩比二千石。	5	ArmyFormation/heyizhen.tmx		300	heroHead/50092.png	heroCard/40092.png												sound/skillRelasebefor/tongyongnan/tongyongnan4.mp3	0.1	
2	都尉	38	30	23	1	100	140	300	ganling_plist	50	ziyun_plist		1	4	30001	都尉，每郡有郡尉，秩比二千石，辅助太守主管军事。从八品。	2	ArmyFormation/gouxingzhen.tmx		100	heroHead/50097.png	heroCard/40097.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
3	禁卫	33	24	21	1	100	140	300	xiahoudun_plist	50	ziyun_plist		1	1	30001	保卫帝王或京城的武将。	2	ArmyFormation/gouxingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png											Dialogue/bianfang.png	sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
4	护卫	42	23	28	1	100	140	300	zhaoyun_plist	50	ziyun_plist		1	4	30001	保卫重要官员的武将。	6	ArmyFormation/zhuixingzhen.tmx		500	heroHead/50094.png	heroCard/40094.png											Dialogue/huwei.png	sound/skillRelasebefor/tongyongnan/tongyongnan1.mp3	0.1	
5	兵曹	57	32	27	1	85	140	300	dongzuo_plist	50	ziyun_plist		1	1	30001	管兵事等的官员。	4	ArmyFormation/yuanxingzhen.tmx		5000	heroHead/50089.png	heroCard/40089.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
6	监军	41	20	22	1	95	140	300	ganling_plist	50	ziyun_plist		1	1	30001	军队的监督者。	3	ArmyFormation/yanxingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
7	护军	47	27	21	1	95	140	300	xiahoudun_plist	50	ziyun_plist		1	4	30001	高级军事长官。	5	ArmyFormation/heyizhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan2.mp3	0.1	
8	督军	34	25	29	1	100	140	300	zhaoyun_plist	50	ziyun_plist		1	1	30001	地方军政长官。	6	ArmyFormation/zhuixingzhen.tmx		2000	heroHead/50042.png	heroCard/40042.png												sound/skillRelasebefor/tongyongnan/tongyongnan3.mp3	0.1	
9	朱雀使	20	28	36	1	85	400	300	huangyueyin_plist	50	mozhua_plist		1	2	30002	高级官员的女使者	5	ArmyFormation/heyizhen.tmx		5000	heroHead/50007.png	heroCard/40007.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
10	护军教头	45	26	23	1	120	140	300	dongzuo_plist	50	ziyun_plist		1	4	30001	初级军队训练的教头	6	ArmyFormation/zhuixingzhen.tmx		5000	heroHead/50091.png	heroCard/40091.png												sound/skillRelasebefor/tongyongnan/tongyongnan6.mp3	0.1	
11	妖姬	28	39	29	1	85	400	300	huangyueyin_plist	50	mozhua_plist		1	2	30002	略懂法术的女武将	1	ArmyFormation/changshezhen.tmx		5000	heroHead/50053.png	heroCard/40053.png												sound/skillRelasebefor/tongyongnv/tongyongnv.mp3	0.1	
