英雄ID	阶级	展示名称	主动技能ID	被动技能1ID	被动技能2ID	被动技能3ID	被动技能4ID	被动技能5ID	被动技能6ID	被动技能7ID	被动技能8ID	被动技能9ID	空行
1	1	虎贲校尉	100048										
1	2	真•虎贲校尉	100048	1000071									
1	3	鬼•虎贲校尉	101048	1000071									
1	4	神•虎贲校尉	101048	1000071	1000078								
1	5	圣•虎贲校尉	102048	1000071	1000078								
1	6	王•虎贲校尉	102048	1000071	1000078	1000053							
1	7	皇•虎贲校尉	103048	1000071	1000078	1000053							
2	1	都尉	100046										
2	2	真•都尉	100046	1000071									
2	3	鬼•都尉	101046	1000071									
2	4	神•都尉	101046	1000071	1000078								
2	5	圣•都尉	102046	1000071	1000078								
2	6	王•都尉	102046	1000071	1000078	1000053							
2	7	皇•都尉	103046	1000071	1000078	1000053							
3	1	禁卫	100056										
3	2	真•禁卫	100056	1000071									
3	3	鬼•禁卫	101056	1000071									
3	4	神•禁卫	101056	1000071	1000078								
3	5	圣•禁卫	102056	1000071	1000078								
3	6	王•禁卫	102056	1000071	1000078	1000053							
3	7	皇•禁卫	103056	1000071	1000078	1000053							
4	1	护卫	100062										
4	2	真•护卫	100062	1000071									
4	3	鬼•护卫	101062	1000071									
4	4	神•护卫	101062	1000071	1000078								
4	5	圣•护卫	102062	1000071	1000078								
4	6	王•护卫	102062	1000071	1000078	1000053							
4	7	皇•护卫	103062	1000071	1000078	1000053							
5	1	兵曹	100062										
5	2	真•兵曹	100062	1000071									
5	3	鬼•兵曹	101062	1000071									
5	4	神•兵曹	101062	1000071	1000078								
5	5	圣•兵曹	102062	1000071	1000078								
5	6	王•兵曹	102062	1000071	1000078	1000053							
5	7	皇•兵曹	103062	1000071	1000078	1000053							
6	1	监军	100062										
6	2	真•监军	100062	1000071									
6	3	鬼•监军	101062	1000071									
6	4	神•监军	101062	1000071	1000078								
6	5	圣•监军	102062	1000071	1000078								
6	6	王•监军	102062	1000071	1000078	1000053							
6	7	皇•监军	103062	1000071	1000078	1000053							
7	1	护军	100062										
7	2	真•护军	100062	1000071									
7	3	鬼•护军	101062	1000071									
7	4	神•护军	101062	1000071	1000078								
7	5	圣•护军	102062	1000071	1000078								
7	6	王•护军	102062	1000071	1000078	1000053							
7	7	皇•护军	103062	1000071	1000078	1000053							
8	1	督军	100046										
8	2	真•督军	100046	1000071									
8	3	鬼•督军	101046	1000071									
8	4	神•督军	101046	1000071	1000078								
8	5	圣•督军	102046	1000071	1000078								
8	6	王•督军	102046	1000071	1000078	1000053							
8	7	皇•督军	103046	1000071	1000078	1000053							
9	1	朱雀使	200072										
9	2	真•朱雀使	200072	1000071									
9	3	鬼•朱雀使	201072	1000071									
9	4	神•朱雀使	201072	1000071	1000079								
9	5	圣•朱雀使	202072	1000071	1000079								
9	6	王•朱雀使	202072	1000071	1000079	1000055							
9	7	皇•朱雀使	203072	1000071	1000079	1000055							
10	1	护军教头	100056										
10	2	真•护军教头	100056	1000071									
10	3	鬼•护军教头	101056	1000071									
10	4	神•护军教头	101056	1000071	1000078								
10	5	圣•护军教头	102056	1000071	1000078								
10	6	王•护军教头	102056	1000071	1000078	1000053							
10	7	皇•护军教头	103056	1000071	1000078	1000053							
11	1	妖姬	200,092,210,092										
11	2	真•妖姬	200,092,210,092	1000071									
11	3	鬼•妖姬	201,092,211,092	1000071									
11	4	神•妖姬	201,092,211,092	1000071	1000079								
11	5	圣•妖姬	202,092,212,092	1000071	1000079								
11	6	王•妖姬	202,092,212,092	1000071	1000079	1000055							
11	7	皇•妖姬	203,092,213,092	1000071	1000079	1000055							
12	1	县丞	200072										
12	2	真•县丞	200072	1000071									
12	3	鬼•县丞	201072	1000071									
12	4	神•县丞	201072	1000071	1000079								
12	5	圣•县丞	202072	1000071	1000079								
12	6	王•县丞	202072	1000071	1000079	1000055							
12	7	皇•县丞	203072	1000071	1000079	1000055							
