标识	天数	条件	数量	ID1	类型1	数量1	ID2	类型2	数量2	ID3	类型3	数量3	ID4	类型4	数量4
101	1	5	10	-2	4	100	-3	4	100000						
102	1	9	1	30	4	1	-3	4	100000						
103	1	3	4	37	4	2	-3	4	100000						
201	2	5	10	-2	4	100	-3	4	100000						
202	2	4	1	-6	4	15000	-3	4	100000						
203	2	1	1	80	4	3									
301	3	5	10	-2	4	100	-3	4	100000						
302	3	9	1	30	4	1	-3	4	100000						
303	3	2	1	50	4	1	-3	4	100000						
401	4	5	10	-2	4	100	-3	4	100000						
402	4	6	1	43	4	30	44	4	20						
403	4	1	1	80	4	3									
501	5	5	10	-2	4	100	-3	4	100000						
502	5	9	1	30	4	1	-3	4	100000						
503	5	2	1	50	4	1	-3	4	100000						
601	6	5	10	-2	4	100	-3	4	100000						
602	6	6	1	43	4	30	44	4	20						
603	6	4	1	-6	4	15000	-3	4	100000						
701	7	5	10	-2	4	100	-3	4	100000						
702	7	9	1	30	4	1	-3	4	100000						
703	7	1	1	80	4	3									
