ID	品质	道具名称	使用脚本	使用标识	道具描述	icon图标ID	使用限制	每日使用次数	使用等级限制	关卡ID1	关卡ID2	关卡ID3	关卡ID4	描述1	类型	卖出价格	空行
1	0	低级经验卡	1	1	增加君主经验	property_1.png	0	0	0	0	0	0	0			100	
2	0	中级经验卡	2	1	增加君主经验	property_2.png	0	0	0	0	0	0	0			100	
3	0	高级经验卡	3	1	增加君主经验	property_3.png	0	0	0	0	0	0	0			100	
4	0	印符	0	0	刷新七星坛用	property_4.png	0	0	0	0	0	0	0			2000	
5	0	令	0	0	强制征税用	property_5.png	0	0	0	0	0	0	0				
6	0	环首冰刃	0	0	三国主流的环首刀，击刺效果奇佳，戳过的西瓜冰凉可口。短刀兵升阶刀盾兵专用。	property_6.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
7	0	冰蚕皮甲	0	0	夏天的时候，每个人都梦想有这么一副皮甲，冰冰凉的，让人舒服。短刀兵升阶刀盾兵专用。	property_7.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
8	0	玄冰指环	0	0	用十三颗完美的玄冰水晶，经过专业铸造师用四十九天打造出来的玄冰指环。短刀兵升阶刀盾兵专用。	property_8.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
9	0	烈焰枪	0	0	镔铁打造，轻重刚好合适，单双手都可运用自如的长枪。轻骑兵升阶突骑兵专用。	property_9.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
10	0	赤皮甲胄	0	0	獠牙野猪，用其皮，涂抹赤火果的油晒近百天后，可以抵挡多种冷兵器刺击。轻骑兵升阶突骑兵专用。	property_10.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
11	0	狼牙兽环	0	0	骑兵戴着这个兽环，据说可以拥有狼王的力量和速度。轻骑兵升阶突骑兵专用。	property_11.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
12	0	柘木长弓	0	0	柘木及其珍贵，但用其制成长弓，是猎野猪，射小鸟的最佳选择。短弓兵升阶长弓兵专用。	property_12.png	0	0	0	0	0	0	0	1-7章普通和精英关卡掉落	1	100	
13	0	狐裘袄	0	0	价格昂贵，有钱人才穿得起，有良好保暖效果的皮袄。短弓兵升阶长弓兵专用。	property_13.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
14	0	碧纹头带	0	0	算命的用青色的泥抹过的头带，传言说能驱邪避鬼。短弓兵升阶长弓兵专用。	property_14.png	0	0	0	0	0	0	0	可在天梯积分商城购买	2	1000	
