id	名字	描述	生命	攻击	法术	法防	技能范围	技能基准点	阵营选择	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	技能伤害类型	延时类型	触发时机	比例(触发)	技能片特效	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
1	王者之道	崇尚仁义的勇士，在神的佑护下，我方所有士兵生命大幅提升	0.2	0	0		8		1																									
2	霸者之道	为理想，不惜一切代价的英雄，我方所有士兵攻击大幅提升	0	0.2	0.2		8		1																									
3	运筹之道	临兵斗者皆阵列在前，我方所有士兵生命加强，攻击加强	0.2	0.1	0.2		8		1																									
4	弓兵指挥	有自己上阵的战斗，我方弓兵的生命大幅提升	0.2	0	0		35		1																									
5	弓兵精英	有自己上阵的战斗，我方弓兵的攻击大幅提升	0	0.2	0		35		1																									
6	神弓连弩	有自己上阵的战斗，我方弓兵的生命加强，攻击加强	0.2	0.1	0.2		35		1																									
7	步兵指挥	有自己上阵的战斗，我方步兵的生命大幅提升	0.2	0	0		33		1																									
8	步兵精英	有自己上阵的战斗，我方步兵的攻击大幅提升	0	0.2	0		33		1																									
9	羽林禁卫	有自己上阵的战斗，我方步兵的生命加强，攻击加强	0.2	0.1	0.2		33		1																									
10	骑兵指挥	有自己上阵的战斗，我方骑兵的生命大幅提升	0.2	0	0		34		1																									
11	骑兵精英	有自己上阵的战斗，我方骑兵的攻击大幅提升	0	0.2	0		34		1																									
12	骠骑铁骑	有自己上阵的战斗，我方骑兵的生命加强，攻击加强	0.2	0.1	0.2		34		1																									
1000000	生命强化	战场中提升自己30%生命					9	1	1			1			1			1	3		0.3													
1000001	攻击强化	战场中提升自己30%攻击					9	1	1			1			1			1	1		0.3													
1000002	法术强化	战场中提升自己30%法术					9	1	1			1			1			1	4		0.3													
1000003	法防强化	战场中提升自己100%法防					9	1	1			1			1			1	5		1													
1000004	生命觉醒	战场中提升自己60%生命					9	1	1			1			1			1	3		0.5													
1000005	攻击觉醒	战场中提升自己60%攻击					9	1	1			1			1			1	1		0.5													
1000006	法术觉醒	战场中提升自己60%法术					9	1	1			1			1			1	4		0.5													
1000007	法防觉醒	战场中提升自己500%法防					9	1	1			1			1			1	5		5													
1000008	受伤降低	战场中受到伤害降低15%					9	1	1			1			1			3		6	0.15													
1000009	受伤减免	战场中受到伤害降低30%					9	1	1			1			1			3		6	0.3													
1000010	攻击抵抗	战场中受到攻击属性伤害降低30%					9	1	1			1			1			1	12		0.3													
1000011	攻击减免	战场中受到攻击属性伤害降低60%					9	1	1			1			1			1	12		0.6													
1000012	暴击提升	战场中暴击几率提升40%					9	1	1			1			1			1	11											0.4				
1000013	暴伤提升	战场中暴击伤害提升150%					9	1	1			1			1			1	11												1.5			
1000014	暴击暴伤	战场中暴击几率提升10%暴击伤害提升50%					9	1	1			1			1			1	11											0.1	0.5			
1000015	免疫冰冻	战场中我方所有武将获得免疫冰冻效果持续15秒					40	2	1			1			1	900	900	4		8				1										
1000016	生命增益	战场中给予友方武将增加15%生命					40	2	1			1			1			1	3		0.15													
1000017	攻击增益	战场中给予友方武将增加15%攻击					40	2	1			1			1			1	1		0.15													
1000018	法术增益	战场中给予友方武将增加15%法术					40	2	1			1			1			1	4		0.15													
1000019	法强增益	战场中给予友方武将增加40%法防					40	2	1			1			1			1	5		0.4													
1000020	攻击削减	战场中友方所有单位受到攻击属性伤害降低20%					40	2	1			1			1			1	12		0.2													
1000021	受伤削减	战场中友方所有单位受到伤害降低7%					40	2	1			1			1			3		6	0.07													
1000022	超级法防	战场中增加9999999点法术防御，持续15秒					9	1	1			1			1	900	900	2	5			9999999		1										
1000023	武力庇护	开战后已方所有武将减少30%伤害持续10秒					40	2	1			1			1	600	600	4		6	0.3			1										
1000024	全军庇护	开战后已方所有单位减少20%伤害持续10秒					4	2	1			1			1	600	600	4		6	0.2			1										
1000025	武神之体	开战后自己减少50%伤害持续12秒					9	1	1			1			1	720	720	4		6	0.5			1										
1000026	攻击回血	攻击敌人将回复攻击数值10%的血量					9	1	1			1			1			3		1	0.1													
1000027	法术回血	战场中每秒回复自己法术数值5%的血量					9	1	1			1			1	60	6000	7			0.05			1										
1000028	天怒神罚	自己死亡时敌方所有成员受到1次100%法术伤害的雷击					4	2	2			1			1			6			1		2		1		Ani_dian		sound/skilleffect/lei/lei1.wav					
1000029	不灭之魂	自己死亡时敌方所有成员受到1次100%攻击伤害的斩杀					4	2	2			1			1			6			1		3		1		Ani_Lightning		sound/skilleffect/dao/dao1.wav					
1000030	冰封千里	自己死亡时冰冻所有敌方成员3秒					4	2	2			1			1	180	180	5						1	1		Ani_ice		sound/skilleffect/bing/bin1.wav					
1000031	治愈之心	自己死亡时恢复所有友军200%法术数值的血量					4	2	1			1			1			7			2				1		Ani_greenLight		sound/skilleffect/huixue/huixue.wav					
1000032	觉醒之怒	友军每死亡1人自己攻击力提升100%					9	1	1			1			1			1	3		1				2									
1000033	觉醒不灭	友军每死亡1人自己所受伤害降低20%					9	1	1			1			1	6000	6000	4		6	0.2			1	2									
1000034	连斩神技	敌人死亡时自己技能CD完全重置					9	1	1			1			1			1	13						3									
1000035	嗜血庇护	自己生命低于10%时，自己所受伤减少99%持续8秒					9	1	1			1			1	480	480	4		6	0.99			1	4	0.1								
1000036	嗜血狂暴	自己生命低于30%时，自己攻击提升150%持续5秒					9	1	1			1			1	300	300	2	1		1.5			1	4	0.3								
1000037	嗜血雷霆	自己生命低于20%时，对所有敌人造成一次100%法术伤害的雷击					4	2	2			1			1			6			1		2		4	0.2								
1000038	嗜血回复	自己生命低于50%时，获得一个100%攻击回血，持续5秒					9	1	1			1			1	300	300	4		1	1			1	4	0.5								
1000039	嗜血复活	自己生命低于20%时，回复自己500%法术数值的血量					9	1	1			1			1			7			5				4	0.2								
1000040	暴击增益	提升已方武将15%暴击几率					40	2	1			1			1			1	11											0.15				
1000041	士兵庇护	我方所有士兵所受伤害减少30%					8	2	1			1			1			3		6	0.3													
1000042	疯狂法术	敌人每死亡1人自己法术提升100%					9	1	1			1			1			1	4		1				3									
1000043	绝对防御	法术防御增加999999点					9	1	1			1			1			1	5			9999999												
1000044	嗜血冰冻	自己生命低于20%时，冰冻所有敌方成员3秒					4	2	2			1			1	180	180	5						1	4	0.2	Ani_ice		sound/skilleffect/bing/bin1.wav					
1000045	生命提升	战场中提升自己2000点生命					9	1	1			1			1			1	3			2000												
1000046	攻击提升	战场中提升自己300点攻击					9	1	1			1			1			1	1			300												
1000047	法术提升	战场中提升自己300点法术					9	1	1			1			1			1	4			300												
1000048	法防提升	战场中提升自己600点法防					9	1	1			1			1			1	5			600												
1000049	暴击强化	战场中提升自己5%暴击几率					9	1	1			1			1			1	11											0.05				
1000050	暴伤强化	战场中提升自己10%暴击伤害					9	1	1			1			1			1	11												0.1			
1000051	攻击抵挡	战场中受到攻击伤害降低10%					9	1	1			1			1			1	12		0.1													
1000052	伤害抵挡	战场中受到伤害降低4%					9	1	1			1			1			3		6	0.04													
1000053	生命觉醒	战场中提升自己10000点生命					9	1	1			1			1			1	3			10000												
1000054	攻击觉醒	战场种提升自己1500点攻击					9	1	1			1			1			1	1			1500												
1000055	法术觉醒	战场中提升自己1500点法术					9	1	1			1			1			1	4			1500												
1000056	法防觉醒	战场中提升自己3000点法术防御					9	1	1			1			1			1	5			3000												
1000057	暴击觉醒	战场中提升自己25%暴击几率					9	1	1			1			1			1	11											0.25				
1000058	暴伤觉醒	战场中提升自己50%暴击伤害					9	1	1			1			1			1	11												0.5			
1000059	武神祝福	战场中提升蜀国所有武将20%攻击力					36	2	1			1			1			1	1		0.2													
1000060	战神祝福	战场中提升群雄所有武将20%攻击力					39	1	1			1			1			1	1		0.2													
1000061	洛神祝福	战场中提升魏国所有武将20%法术					38	1	1			1			1			1	4		0.2													
1000062	火神祝福	战场中提升吴国所有武将20%法术					37	1	1			1			1			1	4		0.2													
1000063	天下无双	战场中提升自己50%暴击几率100%暴击伤害					9	1	1			1			1			1	11											0.5	1			
1000064	无敌将魂	自己生命低于50%时，自己所受到伤害降低90%，持续5秒					9	1	1			1			1	300	300	4		6	0.9			1	4	0.5								
