姓	名
刘	玄德
诸葛	孔明
曹	孟德
孙	仲谋
关	云长
张	翼德
赵	子龙
乐	文谦
李	曼成
夏	子孝
荀	子廉
郭	元让
程	妙才
夏侯	文若
简	公达
糜	奉孝
满	仲德
吕	宪和
毛	子仲
于	伯宁
马	子恪
黄	孝先
韩	文则
祖	孟起
朱	文台
周	伯符
太史	德谋
蒋	公覆
陈	义公
虞	大荣
董	君理
许	子衡
徐	公瑾
臧	子布
鲁	子纲
顾	子义
贾	公奕
司马	幼平
文	子烈
魏	仲翔
庞	元代
严	仲康
陆	公明
骆	公仁
吾	文远
潘	宣高
丁	文达
步	元龙
甘	子敬
凌	子瑜
廖	元叹
薛	雋乂
王	子远
崔	文和
阚	仲达
伊	仲业
杨	文长
法	元直
孟	汉升
彭	士元
费	曼才
傅	公纪
霍	惠恕
秦	公绪
谯	孔休
管	文向
耿	文珪
左	承渊
吉	子山
	兴霸
	子明
	伯言
	公绩
	季常
	幼常
	公琰
	公嗣
	元俭
	敬文
	德枢
	休穆
	子翼
	仲宣
	孔璋
	季珪
	德润
	孝起
	机伯
	令明
	永年
	德祖
	长文
	孝直
	子庆
	安国
	文烈
	叔弼
	季佐
	早安
	公礼
	幼台
	公衡
	子初
	永言
	子均
	文伟
	公悌
	元颖
	德容
	正方
	仲邈
	幼宰
	德昂
	子敕
	允南
	彦才
	子桓
	子建
	子文
	公明
	季行
	无放
	文然
	思然
	备
	亮
	操
	权
	羽
	飞
	云
	进
	典
	仁
	洪
	惇
	渊
	彧
	攸
	嘉
	昱
	雍
	竺
	宠
	虔
	玠
	禁
	超
	坚
	策
	普
	盖
	当
	茂
	治
	范
	瑜
	昭
	纮
	慈
	钦
	泰
	武
	翻
	袭
	褚
	晃
	昭
	辽
	霸
	通
	登
	肃
	瑾
	雍
	郃
	攸
	诩
	懿
	聘
	延
	庶
	忠
	统
	畯
	绩
	温
	统
	粲
	盛
	璋
	奉
	骘
	宁
	蒙
	逊
	统
	良
	谡
	琬
	禅
	化
	综
	秉
	桓
	干
	粲
	琳
	琰
	泽
	震
	籍
	德
	松
	修
	群
	正
	达
	兴
	休
	翊
	匡
	朗
	韶
	静
	权
	巴
	羕
	平
	祎
	巽
	馥
	既
	严
	峻
	和
	恢
	宓
	周
	干
	丕
	植
	彰
	恪
	纪
	慈
	邈
	穆
