ID	缘分武将1ID	缘分名字	缘分效果	缘分武将2ID	缘分名字	缘分效果	缘分1效率类型	缘分1效果值	缘分2效率类型	缘分2效果值	空行
40001	96	火烧新野	夏侯惇做偏将时，生命加26%	86	龙争虎胆	吕布做偏将时，攻击加31%	1	0.26	2	0.31	
40002	93	七星灭董	曹操做偏将时，攻击加28%	51	分庭抗礼	袁绍做偏将时，生命加25%	2	0.28	1	0.25	
40003	75	战神武圣	关羽做偏将时，攻击加38%	97	手下旧臣	张辽做偏将时，生命加35%	2	0.38	1	0.35	
40004	93	杀夫之仇	曹操做偏将时，法术加25%	110	闭月羞花	大乔做偏将时，生命加28%	3	0.25	1	0.28	
40005	75	荆州大敌	关羽做偏将时，生命加22%	112	东吴二虎	吕蒙做偏将时，攻击加25%	1	0.22	2	0.25	
40006	111	国色天香	小乔做偏将时，生命加23%	79	天命难违	诸葛亮做偏将时，法术加30%	1	0.23	3	0.3	
40007	113	乘龙快婿	孙坚做偏将时，攻击加20%	93	青梅煮酒	曹操做偏将时，生命加30%	2	0.2	1	0.3	
40008	97	心心相惜	张辽做偏将时，攻击加28%	91	刮骨疗伤	华佗做偏将时，生命加28%	2	0.28	1	0.28	
40009	86	龙争虎胆	吕布做偏将时，攻击加31%	77	挑灯夜战	马超做偏将时，生命加25%	2	0.31	1	0.25	
40010	93	父兄之仇	曹操做偏将时，攻击加22%	76	挑灯夜战	张飞做偏将时，生命加26%	2	0.22	1	0.26	
40011	83	卧龙凤雏	庞统做偏将时，生命加27%	109	各为其主	周瑜做偏将时，法术加30%	1	0.27	3	0.3	
40012	79	木马流情	诸葛亮做偏将时，法术加15%	82	仙果下凡	诸葛果做偏将时，生命15%	3	0.15	1	0.15	
40013	105	香香郡主	孙权做偏将时，法术加28%	106	长兄为父	孙策做偏将时，生命加28%	3	0.28	1	0.28	
40014	75	青龙传承	关羽做偏将时，攻击加23%	47	关家子弟	关索做偏将时，生命加15%	2	0.23	1	0.15	
