ID	技能名字	技能描述	CD时间	技能片特效	技能片缩放比例	技能范围	技能基准点	阵营选择	半径	角度	高度	宽度	身后距离	值条件(条件)	百分比条件(条件)	几率(条件)	值(条件)	百分比(条件)	延迟时间	间隔时间	总时间	效果选择	作用属性	效果状态	百分比	基础伤害	基础秒数	技能伤害类型	延时类型	效果描述	技能声效	参数1	参数2	参数3	参数4	空行
100040	龙鸣虎啸	自身增加40%攻击力与法术强度，持续5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.4		6	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
101040	鬼•龙鸣虎啸	自身增加45%攻击力与法术强度，持续5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.45		8	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
102040	圣•龙鸣虎啸	自身增加50%攻击力与法术强度，持续5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.5		10	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
103040	皇•龙鸣虎啸	自身增加55%攻击力与法术强度，持续5S	12	huangguang_plist		9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	1	0	0.55		12	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
110040	龙鸣虎啸	自身增加40%攻击力与法术强度，持续5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.4		6	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
111040	鬼•龙鸣虎啸	自身增加45%攻击力与法术强度，持续5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.45		8	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
112040	圣•龙鸣虎啸	自身增加50%攻击力与法术强度，持续5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.5		10	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
113040	皇•龙鸣虎啸	自身增加55%攻击力与法术强度，持续5S	12			9	1	1	0	0	0	0	0	0	0	1	0	0	1	300	300	2	4	0	0.55		12	0	1	1,9	sound/skilleffect/zhenyi/zengyi.wav					
100041	慑魂一式	攻击血量最低的敌方武将，造成200%攻击伤害	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2		6	3			sound/skilleffect/dao/dao1.wav					
101041	鬼•慑魂一式	攻击血量最低的敌方武将，造成220%攻击伤害	12	Ani_duodaoguang		23	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	6	0	0	2.2		8	3			sound/skilleffect/dao/dao1.wav					
